Datetime,Product_id,Quantity,Quarter
2023-01-02,001-003-005,2,2023-Q1
2023-01-02,001-001-002,2,2023-Q1
2023-01-02,001-002-003,1,2023-Q1
2023-01-02,001-001-004,3,2023-Q1
2023-01-02,001-001-003,5,2023-Q1
2023-01-02,001-001-001,7,2023-Q1
2023-01-03,001-003-003,2,2023-Q1
2023-01-03,001-001-002,2,2023-Q1
2023-01-03,001-001-003,1,2023-Q1
2023-01-03,001-003-006,3,2023-Q1
2023-01-03,001-001-002,4,2023-Q1
2023-01-03,001-001-004,6,2023-Q1
2023-01-03,001-001-003,2,2023-Q1
2023-01-04,001-003-006,18,2023-Q1
2023-01-04,001-003-003,5,2023-Q1
2023-01-04,001-001-002,6,2023-Q1
2023-01-04,001-002-004,2,2023-Q1
2023-01-04,001-001-003,1,2023-Q1
2023-01-04,001-001-002,6,2023-Q1
2023-01-04,001-002-003,2,2023-Q1
2023-01-04,001-001-001,3,2023-Q1
2023-01-04,001-003-004,3,2023-Q1
2023-01-04,001-001-003,8,2023-Q1
2023-01-04,001-002-003,22,2023-Q1
2023-01-05,001-003-003,4,2023-Q1
2023-01-05,001-003-004,9,2023-Q1
2023-01-05,001-003-005,10,2023-Q1
2023-01-05,001-002-004,5,2023-Q1
2023-01-05,001-003-006,2,2023-Q1
2023-01-05,001-003-003,2,2023-Q1
2023-01-06,001-003-002,1,2023-Q1
2023-01-06,001-003-003,1,2023-Q1
2023-01-06,001-002-001,2,2023-Q1
2023-01-06,001-003-002,1,2023-Q1
2023-01-06,001-001-003,7,2023-Q1
2023-01-06,001-002-001,10,2023-Q1
2023-01-06,001-002-004,4,2023-Q1
2023-01-06,001-001-003,1,2023-Q1
2023-01-07,001-002-001,4,2023-Q1
2023-01-07,001-002-003,5,2023-Q1
2023-01-07,001-001-003,14,2023-Q1
2023-01-07,001-003-002,25,2023-Q1
2023-01-07,001-002-001,19,2023-Q1
2023-01-07,001-003-005,2,2023-Q1
2023-01-07,001-002-003,9,2023-Q1
2023-01-07,001-002-001,11,2023-Q1
2023-01-07,001-002-004,2,2023-Q1
2023-01-09,001-003-005,2,2023-Q1
2023-01-09,001-001-003,7,2023-Q1
2023-01-09,001-003-003,3,2023-Q1
2023-01-09,001-002-003,6,2023-Q1
2023-01-09,001-003-002,7,2023-Q1
2023-01-09,001-002-001,3,2023-Q1
2023-01-09,001-002-004,7,2023-Q1
2023-01-09,001-003-003,10,2023-Q1
2023-01-09,001-003-006,2,2023-Q1
2023-01-09,001-002-004,8,2023-Q1
2023-01-09,001-003-005,5,2023-Q1
2023-01-10,001-003-002,3,2023-Q1
2023-01-10,001-002-003,18,2023-Q1
2023-01-10,001-001-003,2,2023-Q1
2023-01-10,001-003-005,4,2023-Q1
2023-01-10,001-001-003,1,2023-Q1
2023-01-10,001-002-001,5,2023-Q1
2023-01-10,001-002-004,16,2023-Q1
2023-01-10,001-003-006,2,2023-Q1
2023-01-10,001-002-001,12,2023-Q1
2023-01-11,001-003-002,16,2023-Q1
2023-01-11,001-001-003,6,2023-Q1
2023-01-11,001-003-002,3,2023-Q1
2023-01-11,001-003-005,2,2023-Q1
2023-01-11,001-002-004,2,2023-Q1
2023-01-11,001-002-001,4,2023-Q1
2023-01-11,001-003-002,3,2023-Q1
2023-01-11,001-003-005,6,2023-Q1
2023-01-11,001-002-003,24,2023-Q1
2023-01-11,001-001-004,1,2023-Q1
2023-01-12,001-003-002,10,2023-Q1
2023-01-12,001-003-006,2,2023-Q1
2023-01-12,001-003-005,8,2023-Q1
2023-01-12,001-001-002,3,2023-Q1
2023-01-12,001-003-005,2,2023-Q1
2023-01-12,001-003-003,6,2023-Q1
2023-01-12,001-002-003,20,2023-Q1
2023-01-12,001-002-001,3,2023-Q1
2023-01-12,001-002-004,2,2023-Q1
2023-01-12,001-003-002,12,2023-Q1
2023-01-12,001-003-005,5,2023-Q1
2023-01-13,001-003-003,17,2023-Q1
2023-01-13,001-001-003,4,2023-Q1
2023-01-13,001-003-002,6,2023-Q1
2023-01-13,001-003-003,4,2023-Q1
2023-01-13,001-002-003,7,2023-Q1
2023-01-13,001-003-002,13,2023-Q1
2023-01-13,001-001-003,8,2023-Q1
2023-01-13,001-002-005,1,2023-Q1
2023-01-14,001-003-003,10,2023-Q1
2023-01-14,001-002-003,9,2023-Q1
2023-01-14,001-001-001,5,2023-Q1
2023-01-14,001-003-006,17,2023-Q1
2023-01-14,001-003-002,2,2023-Q1
2023-01-14,001-003-006,2,2023-Q1
2023-01-14,001-002-004,2,2023-Q1
2023-01-14,001-003-003,4,2023-Q1
2023-01-14,001-002-006,19,2023-Q1
2023-01-14,001-003-002,15,2023-Q1
2023-01-14,001-002-001,4,2023-Q1
2023-01-15,001-003-002,5,2023-Q1
2023-01-15,001-001-004,4,2023-Q1
2023-01-15,001-002-003,5,2023-Q1
2023-01-15,001-002-001,7,2023-Q1
2023-01-15,001-003-005,9,2023-Q1
