Datetime,Product_id,Quantity,,,,,,,,,,,,,,,,,,,Order_id
1/2/2023,001-003-005,2,,,,,,,,,,,,,,,,,,,001-8-1-2023
1/2/2023,001-001-002,2,,,,,,,,,,,,,,,,,,,002-8-1-2023
1/2/2023,001-002-003,1,,,,,,,,,,,,,,,,,,,003-8-1-2023
1/2/2023,001-001-004,3,,,,,,,,,,,,,,,,,,,004-8-1-2023
1/2/2023,001-001-003,5,,,,,,,,,,,,,,,,,,,005-8-1-2023
1/2/2023,001-001-001,7,,,,,,,,,,,,,,,,,,,006-8-1-2023
1/3/2023,001-003-003,2,,,,,,,,,,,,,,,,,,,007-8-1-2023
1/3/2023,001-001-002,2,,,,,,,,,,,,,,,,,,,008-8-1-2023
1/3/2023,001-001-003,1,,,,,,,,,,,,,,,,,,,009-8-1-2023
1/3/2023,001-003-006,3,,,,,,,,,,,,,,,,,,,010-8-1-2023
1/3/2023,001-001-002,4,,,,,,,,,,,,,,,,,,,011-8-1-2023
1/3/2023,001-001-004,6,,,,,,,,,,,,,,,,,,,012-8-1-2023
1/3/2023,001-001-003,2,,,,,,,,,,,,,,,,,,,013-8-1-2023
1/4/2023,001-003-006,18,,,,,,,,,,,,,,,,,,,014-8-1-2023
1/4/2023,001-003-003,5,,,,,,,,,,,,,,,,,,,015-8-1-2023
1/4/2023,001-001-002,6,,,,,,,,,,,,,,,,,,,016-8-1-2023
1/4/2023,001-002-004,2,,,,,,,,,,,,,,,,,,,017-8-1-2023
1/4/2023,001-001-003,1,,,,,,,,,,,,,,,,,,,018-8-1-2023
1/4/2023,001-001-002,6,,,,,,,,,,,,,,,,,,,001-8-1-2023
1/4/2023,001-002-003,2,,,,,,,,,,,,,,,,,,,001-8-1-2023
1/4/2023,001-001-001,3,,,,,,,,,,,,,,,,,,,001-8-1-2023
1/4/2023,001-003-004,3,,,,,,,,,,,,,,,,,,,001-8-1-2023
1/4/2023,001-001-003,8,,,,,,,,,,,,,,,,,,,001-8-1-2023
1/4/2023,001-002-003,22,,,,,,,,,,,,,,,,,,,001-8-1-2023
1/5/2023,001-003-003,4,,,,,,,,,,,,,,,,,,,001-8-1-2023
1/5/2023,001-003-004,9,,,,,,,,,,,,,,,,,,,001-8-1-2023
1/5/2023,001-003-005,10,,,,,,,,,,,,,,,,,,,001-8-1-2023
1/5/2023,001-002-004,5,,,,,,,,,,,,,,,,,,,001-8-1-2023
1/5/2023,001-003-006,2,,,,,,,,,,,,,,,,,,,001-8-1-2023
1/5/2023,001-003-003,2,,,,,,,,,,,,,,,,,,,001-8-1-2023
1/6/2023,001-003-002,1,,,,,,,,,,,,,,,,,,,
1/6/2023,001-003-003,1,,,,,,,,,,,,,,,,,,,
1/6/2023,001-002-001,2,,,,,,,,,,,,,,,,,,,
1/6/2023,001-003-002,1,,,,,,,,,,,,,,,,,,,
1/6/2023,001-001-003,7,,,,,,,,,,,,,,,,,,,
1/6/2023,001-002-001,10,,,,,,,,,,,,,,,,,,,
1/6/2023,001-002-004,4,,,,,,,,,,,,,,,,,,,
1/6/2023,001-001-003,1,,,,,,,,,,,,,,,,,,,
1/7/2023,001-002-001,4,,,,,,,,,,,,,,,,,,,
1/7/2023,001-002-003,5,,,,,,,,,,,,,,,,,,,
1/7/2023,001-001-003,14,,,,,,,,,,,,,,,,,,,
1/7/2023,001-003-002,25,,,,,,,,,,,,,,,,,,,
1/7/2023,001-002-001,19,,,,,,,,,,,,,,,,,,,
1/7/2023,001-003-005,2,,,,,,,,,,,,,,,,,,,
1/7/2023,001-002-003,9,,,,,,,,,,,,,,,,,,,
1/7/2023,001-002-001,11,,,,,,,,,,,,,,,,,,,
1/7/2023,001-002-004,2,,,,,,,,,,,,,,,,,,,
1/9/2023,001-003-005,2,,,,,,,,,,,,,,,,,,,
1/9/2023,001-001-003,7,,,,,,,,,,,,,,,,,,,
1/9/2023,001-003-003,3,,,,,,,,,,,,,,,,,,,
1/9/2023,001-002-003,6,,,,,,,,,,,,,,,,,,,
1/9/2023,001-003-002,7,,,,,,,,,,,,,,,,,,,
1/9/2023,001-002-001,3,,,,,,,,,,,,,,,,,,,
1/9/2023,001-002-004,7,,,,,,,,,,,,,,,,,,,
1/9/2023,001-003-003,10,,,,,,,,,,,,,,,,,,,
1/9/2023,001-003-006,2,,,,,,,,,,,,,,,,,,,
1/9/2023,001-002-004,8,,,,,,,,,,,,,,,,,,,
1/9/2023,001-003-005,5,,,,,,,,,,,,,,,,,,,
1/10/2023,001-003-002,3,,,,,,,,,,,,,,,,,,,
1/10/2023,001-002-003,18,,,,,,,,,,,,,,,,,,,
1/10/2023,001-001-003,2,,,,,,,,,,,,,,,,,,,
1/10/2023,001-003-005,4,,,,,,,,,,,,,,,,,,,
1/10/2023,001-001-003,1,,,,,,,,,,,,,,,,,,,
1/10/2023,001-002-001,5,,,,,,,,,,,,,,,,,,,
1/10/2023,001-002-004,16,,,,,,,,,,,,,,,,,,,
1/10/2023,001-003-006,2,,,,,,,,,,,,,,,,,,,
1/10/2023,001-002-001,12,,,,,,,,,,,,,,,,,,,
1/11/2023,001-003-002,16,,,,,,,,,,,,,,,,,,,
1/11/2023,001-001-003,6,,,,,,,,,,,,,,,,,,,
1/11/2023,001-003-002,3,,,,,,,,,,,,,,,,,,,
1/11/2023,001-003-005,2,,,,,,,,,,,,,,,,,,,
1/11/2023,001-002-004,2,,,,,,,,,,,,,,,,,,,
1/11/2023,001-002-001,4,,,,,,,,,,,,,,,,,,,
1/11/2023,001-003-002,3,,,,,,,,,,,,,,,,,,,
1/11/2023,001-003-005,6,,,,,,,,,,,,,,,,,,,
1/11/2023,001-002-003,24,,,,,,,,,,,,,,,,,,,
1/11/2023,001-001-004,1,,,,,,,,,,,,,,,,,,,
1/12/2023,001-003-002,10,,,,,,,,,,,,,,,,,,,
1/12/2023,001-003-006,2,,,,,,,,,,,,,,,,,,,
1/12/2023,001-003-005,8,,,,,,,,,,,,,,,,,,,
1/12/2023,001-001-002,3,,,,,,,,,,,,,,,,,,,
1/12/2023,001-003-005,2,,,,,,,,,,,,,,,,,,,
1/12/2023,001-003-003,6,,,,,,,,,,,,,,,,,,,
1/12/2023,001-002-003,20,,,,,,,,,,,,,,,,,,,
1/12/2023,001-002-001,3,,,,,,,,,,,,,,,,,,,
1/12/2023,001-002-004,2,,,,,,,,,,,,,,,,,,,
1/12/2023,001-003-002,12,,,,,,,,,,,,,,,,,,,
1/12/2023,001-003-005,5,,,,,,,,,,,,,,,,,,,
1/13/2023,001-003-003,17,,,,,,,,,,,,,,,,,,,
1/13/2023,001-001-003,4,,,,,,,,,,,,,,,,,,,
1/13/2023,001-003-002,6,,,,,,,,,,,,,,,,,,,
1/13/2023,001-003-003,4,,,,,,,,,,,,,,,,,,,
1/13/2023,001-002-003,7,,,,,,,,,,,,,,,,,,,
1/13/2023,001-003-002,13,,,,,,,,,,,,,,,,,,,
1/13/2023,001-001-003,8,,,,,,,,,,,,,,,,,,,
1/13/2023,001-002-005,1,,,,,,,,,,,,,,,,,,,
1/14/2023,001-003-003,10,,,,,,,,,,,,,,,,,,,
1/14/2023,001-002-003,9,,,,,,,,,,,,,,,,,,,
1/14/2023,001-001-001,5,,,,,,,,,,,,,,,,,,,
1/14/2023,001-003-006,17,,,,,,,,,,,,,,,,,,,
1/14/2023,001-003-002,2,,,,,,,,,,,,,,,,,,,
1/14/2023,001-003-006,2,,,,,,,,,,,,,,,,,,,
1/14/2023,001-002-004,2,,,,,,,,,,,,,,,,,,,
1/14/2023,001-003-003,4,,,,,,,,,,,,,,,,,,,
1/14/2023,001-002-006,19,,,,,,,,,,,,,,,,,,,
1/14/2023,001-003-002,15,,,,,,,,,,,,,,,,,,,
1/14/2023,001-002-001,4,,,,,,,,,,,,,,,,,,,
1/15/2023,001-003-002,5,,,,,,,,,,,,,,,,,,,
1/15/2023,001-001-004,4,,,,,,,,,,,,,,,,,,,
1/15/2023,001-002-003,5,,,,,,,,,,,,,,,,,,,
1/15/2023,001-002-001,7,,,,,,,,,,,,,,,,,,,
1/15/2023,001-003-005,9,,,,,,,,,,,,,,,,,,,
1/15/2023,001-002-002,8,,,,,,,,,,,,,,,,,,,
1/15/2023,001-003-002,1,,,,,,,,,,,,,,,,,,,
1/15/2023,001-002-002,4,,,,,,,,,,,,,,,,,,,
1/15/2023,001-003-003,15,,,,,,,,,,,,,,,,,,,
1/15/2023,001-003-002,8,,,,,,,,,,,,,,,,,,,
1/16/2023,001-001-001,4,,,,,,,,,,,,,,,,,,,
1/16/2023,001-002-002,14,,,,,,,,,,,,,,,,,,,
